MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2143103	Ano10	anoctamin 10	9	NOT	intracellular calcium activated chloride channel activity	happens in fetal thymocyte|happens in experimentally modified cell in vitro		IDA		J:198369 	
MGI:88246	Anxa2	annexin A2	9		calcium channel activity			IBA	PTN000052598 	J:265628 	
MGI:88255	Anxa6	annexin A6	11		calcium channel activity			IBA	PTN002574762 	J:265628 	
MGI:88255	Anxa6	annexin A6	11		ligand-gated ion channel activity			IBA	PTN002574762 	J:265628 	
MGI:88255	Anxa6	annexin A6	11		ligand-gated ion channel activity			ISO	P08133 	J:164563 	
MGI:1923711	Anxa9	annexin A9	3		calcium channel activity			IBA	PTN000052598 	J:265628 	
MGI:1923011	Apol7a	apolipoprotein L 7a	15		chloride channel activity			ISO	O14791 	J:164563 	
MGI:3583950	Apol7b	apolipoprotein L 7b	15		chloride channel activity			ISO	O14791 	J:164563 	
MGI:1920912	Apol7c	apolipoprotein L 7c	15		chloride channel activity			ISO	O14791 	J:164563 	
MGI:3704456	Apol7e	apolipoprotein L 7e	15		chloride channel activity			ISO	O14791 	J:164563 	
MGI:2444921	Apol8	apolipoprotein L 8	15		chloride channel activity			ISO	O14791 	J:164563 	
MGI:3606001	Apol9a	apolipoprotein L 9a	15		chloride channel activity			ISO	O14791 	J:164563 	
MGI:3036238	Apol10a	apolipoprotein L 10A	15		chloride channel activity			ISO	O14791 	J:164563 	
MGI:3043522	Apol10b	apolipoprotein L 10B	15		chloride channel activity			ISO	O14791 	J:164563 	
MGI:3649094	Apol11a	apolipoprotein L 11a	15		chloride channel activity			ISO	O14791 	J:164563 	
MGI:3036248	Apol11b	apolipoprotein L 11b	15		chloride channel activity			ISO	O14791 	J:164563 	
MGI:103201	Aqp1	aquaporin 1	6		intracellular cGMP-activated cation channel activity			ISO	P29972 	J:164563 	
MGI:103201	Aqp1	aquaporin 1	6		potassium channel activity			ISO	P29972 	J:164563 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		acid-sensing ion channel activity			IBA	PTN002618510 	J:265628 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		acid-sensing ion channel activity			IDA		J:219161 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		acid-sensing ion channel activity			ISO	P78348 	J:164563 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		cation channel activity			IDA		J:74681 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		cation channel activity			IMP	MGI:2179834 	J:74681 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		ion channel activity			ISO	RGD:71062 	J:155856 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		ligand-gated sodium channel activity			IBA	PTN000189658 	J:265628 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		sodium channel activity			IEA	IPR001873 IPR020903 	J:72247 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		sodium channel activity			IEA	KW-0894 	J:60000 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		cation channel activity			IDA		J:74681 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		cation channel activity			IMP	MGI:2180111 	J:74681 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		ion channel activity	happens in spinal cord,happens in neuron		IDA		J:131953 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		ion channel activity			ISO	RGD:2017 	J:155856 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		ligand-gated sodium channel activity			IBA	PTN000189658 	J:265628 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		ligand-gated sodium channel activity			IDA		J:44171 J:68839 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		sodium channel activity			IEA	IPR001873 IPR020903 	J:72247 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		sodium channel activity			IEA	KW-0894 	J:60000 	
MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	11		voltage-gated sodium channel activity			ISO	RGD:2017 	J:155856 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		acid-sensing ion channel activity			IBA	PTN002618510 	J:265628 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		cation channel activity			IDA		J:74681 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		cation channel activity			IMP	MGI:2429689 	J:74681 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		cation channel activity			TAS		J:73505 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		ligand-gated sodium channel activity			IBA	PTN000189658 	J:265628 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		ligand-gated sodium channel activity			ISO	RGD:708578 	J:155856 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		ligand-gated sodium channel activity			ISO	O35240 	J:73065 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		sodium channel activity			IEA	IPR001873 IPR020903 	J:72247 	
MGI:2159339	Asic3	acid-sensing (proton-gated) ion channel 3	5		sodium channel activity			IEA	KW-0894 	J:60000 	
MGI:2652846	Asic4	acid-sensing (proton-gated) ion channel family member 4	1		ligand-gated sodium channel activity			IBA	PTN000189658 	J:265628 	
MGI:2652846	Asic4	acid-sensing (proton-gated) ion channel family member 4	1		sodium channel activity			IEA	IPR001873 IPR020903 	J:72247 	
MGI:2652846	Asic4	acid-sensing (proton-gated) ion channel family member 4	1		sodium channel activity			IEA	KW-0894 	J:60000 	
MGI:1929259	Asic5	acid-sensing (proton-gated) ion channel family member 5	3	NOT	ligand-gated sodium channel activity			IDA		J:166385 	
MGI:1929259	Asic5	acid-sensing (proton-gated) ion channel family member 5	3		ligand-gated sodium channel activity			ISO	Y19034 	J:66332 	
MGI:1929259	Asic5	acid-sensing (proton-gated) ion channel family member 5	3		proton channel activity			IDA		J:166385 	
MGI:1929259	Asic5	acid-sensing (proton-gated) ion channel family member 5	3		sodium channel activity			IDA		J:166385 	
MGI:88115	Atp5a1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1	18	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			IBA	PTN000389891 	J:265628 	
MGI:88115	Atp5a1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1	18		proton-transporting ATP synthase activity, rotational mechanism			IMP		J:123729 	
MGI:88115	Atp5a1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1	18	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	P25705 	J:164563 	
MGI:88115	Atp5a1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1	18		proton-transporting ATP synthase activity, rotational mechanism			ISO	P25705 	J:164563 	
MGI:107801	Atp5b	ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit	10	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			IBA	PTN000389695 	J:265628 	
MGI:107801	Atp5b	ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit	10	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	P06576 	J:164563 	
MGI:107801	Atp5b	ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit	10		proton-transporting ATP synthase activity, rotational mechanism			ISO	P06576 	J:164563 	
MGI:1261437	Atp5c1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	2	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	P36542 	J:164563 	
MGI:1913293	Atp5d	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	10	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	P30049 	J:164563 	
MGI:1855697	Atp5e	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	2	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			IBA	PTN000278562 	J:265628 	
MGI:1855697	Atp5e	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	2	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	P56381 	J:164563 	
MGI:1918929	Atp5h	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit D	11	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	O75947 	J:164563 	
MGI:107777	Atp5j	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F	16	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	P18859 	J:164563 	
MGI:1927558	Atp5j2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	5	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			IBA	PTN000317570 	J:265628 	
MGI:1927558	Atp5j2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	5	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	P56134 	J:164563 	
MGI:106636	Atp5k	ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E	5	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	P56385 	J:164563 	
MGI:1351597	Atp5l	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	9	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	O75964 	J:164563 	
MGI:106341	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	16	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			IBA	PTN000226814 	J:265628 	
MGI:106341	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	16	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	P48047 	J:164563 	
MGI:1100495	Atp5pb	ATP synthase peripheral stalk-membrane subunit b	3	contributes_to	proton-transporting ATP synthase activity, rotational mechanism			ISO	P24539 	J:164563 	
MGI:1201780	Atp6v1a	ATPase, H+ transporting, lysosomal V1 subunit A	16		proton-transporting ATP synthase activity, rotational mechanism			IEA	7.1.2.2 	J:72245 	
MGI:1346332	Best1	bestrophin 1	19		chloride channel activity			ISO	O76090 	J:73065 	
MGI:2387588	Best2	bestrophin 2	8	contributes_to	chloride channel activity			IDA		J:127173 	
MGI:2387588	Best2	bestrophin 2	8		chloride channel activity			IDA		J:108704 	
MGI:3580298	Best3	bestrophin 3	10		chloride channel activity			IDA		J:107638 	
MGI:2153465	Bsnd	barttin CLCNK type accessory beta subunit	4	contributes_to	chloride channel activity			IDA		J:114790 	
MGI:2444177	Cachd1	cache domain containing 1	4		voltage-gated calcium channel activity			IBA	PTN000018330 	J:265628 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		calcium channel activity			IEA	KW-0107 	J:60000 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity			IGI	MGI:102522 	J:75166 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity	happens in dorsal root ganglion,happens in neuron		IMP	MGI:1856210 	J:72853 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity	happens in cerebellum,happens in Purkinje cell		IMP	MGI:1856210 	J:112100 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity	happens in cerebellum,happens in Purkinje cell		IMP	MGI:1856211 	J:63634 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity	happens in cerebellar cortex,happens in Purkinje cell		IMP	MGI:1856209 MGI:1856211 	J:109231 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity	happens in cerebellum,happens in granule cell		IMP	MGI:2180190 	J:76459 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity	happens in diaphragm,happens in motor neuron|happens in phrenic nerve,happens in motor neuron|happens in levator auris longus,happens in motor neuron		IMP	MGI:2181384 	J:82722 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity	happens in cerebellar cortex,happens in Purkinje cell		IMP	MGI:2181384 	J:107960 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity	happens in superior olivary nucleus		IMP	MGI:2181384 	J:96814 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity	happens in chromaffin cell		IMP	MGI:2181384 	J:76879 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity			ISO	RGD:2244 	J:155856 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		high voltage-gated calcium channel activity			ISO	O00555 	J:164563 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		ion channel activity			IEA	IPR005821 	J:72247 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		voltage-gated calcium channel activity			IBA	PTN001295314 	J:265628 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		voltage-gated calcium channel activity	happens in adrenal medulla chromaffin cell		IDA		J:31925 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		voltage-gated calcium channel activity	happens in thalamus,happens in CNS neuron (sensu Vertebrata)		IMP	MGI:1856209 	J:106959 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		voltage-gated calcium channel activity	happens in cerebellum,happens in Purkinje cell		IMP	MGI:1856210 	J:47984 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		voltage-gated calcium channel activity	happens in cerebellum,happens in Purkinje cell		IMP	MGI:1856209 MGI:1856210 	J:51647 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		voltage-gated calcium channel activity	happens in cerebellum,happens in Purkinje cell|happens in cerebellum,happens in granule cell		IMP	MGI:2181384 	J:59076 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		voltage-gated calcium channel activity			IMP		J:89452 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		voltage-gated calcium channel activity			ISO	RGD:2244 	J:155856 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		voltage-gated calcium channel activity			ISO	O00555 	J:164563 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	happens in glutamatergic synapse,happens in cerebral cortex		IDA		J:242456 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	happens in glutamatergic synapse,happens in cerebral cortex		IMP		J:242456 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		calcium channel activity			IEA	KW-0107 	J:60000 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		cation channel activity			IEA	IPR043203 	J:72247 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		high voltage-gated calcium channel activity			IDA		J:207256 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		high voltage-gated calcium channel activity			ISO	RGD:628852 	J:155856 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		high voltage-gated calcium channel activity			ISO	Q00975 	J:164563 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		ion channel activity			IEA	IPR005821 	J:72247 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		voltage-gated calcium channel activity			IBA	PTN001295314 	J:265628 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		voltage-gated calcium channel activity			IMP	MGI:2180187 	J:76458 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		voltage-gated calcium channel activity	happens in dorsal root ganglion,happens in neuron		IMP		J:102559 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		voltage-gated calcium channel activity			IMP		J:89452 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		voltage-gated calcium channel activity			ISO	RGD:628852 	J:155856 	
MGI:88296	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	2		voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels			ISO	RGD:628852 	J:155856 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		calcium channel activity			IEA	KW-0107 	J:60000 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		high voltage-gated calcium channel activity			IBA	PTN000004694 	J:265628 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		high voltage-gated calcium channel activity			ISO	RGD:2245 	J:155856 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		high voltage-gated calcium channel activity			ISO	Q13936 	J:164563 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		ion channel activity			IEA	IPR005821 	J:72247 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity			IBA	PTN001295314 	J:265628 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity		PR:Q01815	IDA		J:22307 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity			IDA		J:3159 J:28645 J:102383 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity			IMP	MGI:2674114 	J:102188 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity	happens in pancreas,happens in type B pancreatic cell		IMP	MGI:2176227 MGI:2674119 	J:84919 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity	happens in artery smooth muscle,happens in muscle cell		IMP	MGI:2389040 MGI:2674119 	J:112881 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity			IMP	MGI:3047071 	J:94556 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity			ISO	RGD:2245 	J:155856 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity			ISO	Q13936 	J:164563 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity			TAS		J:72636 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity involved in AV node cell action potential			ISO	Q13936 	J:164563 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity involved in cardiac muscle cell action potential	happens in cardiac muscle cell		IDA		J:286588 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6	contributes_to	voltage-gated calcium channel activity involved in cardiac muscle cell action potential			ISO	Q13936 	J:164563 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		voltage-gated calcium channel activity involved in cardiac muscle cell action potential			ISO	Q13936 	J:164563 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		calcium channel activity			ISO	Q01668 	J:164563 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		high voltage-gated calcium channel activity			IBA	PTN000004694 	J:265628 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		high voltage-gated calcium channel activity			IDA		J:86180 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14	contributes_to	high voltage-gated calcium channel activity			ISO	Q01668 	J:164563 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		high voltage-gated calcium channel activity			ISO	RGD:70973 	J:155856 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		ion channel activity			IEA	IPR005821 	J:72247 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		voltage-gated calcium channel activity			IBA	PTN001295314 	J:265628 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		voltage-gated calcium channel activity			ISO	RGD:70973 	J:155856 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		voltage-gated calcium channel activity			ISO	Q01668 	J:164563 	
